ISELL_ORDER_NUMBER	PICK_ID	ARTNO   	ARTNAME_UNICODE                                   	ART_VOLUME_M3	ORDERED_QTY	PICKED_QTY	OPEN_PICK_QTY	AVAILABLE_STOCK	POSSIBLE_TO_FINISH	ORDER_TYPE 	DATE_OF_PAYMENT	TIME_OF_PAYMENT	EXCEPTION	PICK_AREA          	ACTUAL_ORDER_STATUS	STORAGE_STATUS	STORAGE_USED	HANDOVER_POINT	CUT_OFF_DATE	CUT_OFF_TIME	USER_PICKING	SERVICE_DATE	SERVICE_WINDOW	ORDER_METHOD	PICK_LOCATION	PICK_LOCATION_TYPE	DELIVERY_METHOD                  
1352291320        	60267  	80396926	FRIDANS blck-out rllr blnd 180x195 grey           	0.008145     	2          	0         	2            	36             	YES               	Collect    	2023-04-12     	08:58:25       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M12G17       	                  	Pick Up at Store                 
1352291321        	60268  	10530259	BISSA N shoe cab 3comp 49x28x135 white            	0.050481     	1          	0         	1            	50             	YES               	Collect    	2023-04-12     	09:00:10       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	312000       	                  	Pick Up at Store                 
1352294122        	60269  	20519888	SKÅDIS hook 19 mm white 5-p                       	0.000160     	2          	0         	2            	387            	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L05       	                  	Pick Up at Store                 
1352294122        	60269  	40321631	SKÅDIS elastic cord grey 3-p                      	0.000125     	1          	0         	1            	329            	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L05       	                  	Pick Up at Store                 
1352294122        	60269  	50320805	SKÅDIS pgbrd 36x56 white                          	0.005951     	2          	0         	2            	46             	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L05       	                  	Pick Up at Store                 
1352294122        	60269  	50517760	SKÅDIS stor basket s3 white                       	0.005152     	1          	0         	1            	157            	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L05       	                  	Pick Up at Store                 
1352294122        	60269  	80010222	VARIERA N plastic bag disp white                  	0.001851     	2          	0         	2            	377            	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	S07E08       	                  	Pick Up at Store                 
1352294122        	60269  	90198030	KVISSLE wll newsp rack white                      	0.008353     	1          	0         	1            	17             	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L04       	                  	Pick Up at Store                 
1352294122        	60269  	90519880	SKÅDIS magaz hldr white                           	0.001776     	1          	0         	1            	667            	YES               	Collect    	2023-04-12     	09:13:30       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18L05       	                  	Pick Up at Store                 
1352294122        	60270  	60501886	ÖRFJÄLL N child dsk chr white/Vissle light grey GB	0.029412     	1          	0         	1            	24             	YES               	Collect    	2023-04-12     	09:13:30       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	230510       	MANUAL            	Pick Up at Store                 
1352295020        	60271  	10401931	BILLY NNN bookcs 40x40x202 white                  	0.070933     	1          	0         	1            	52             	YES               	Collect    	2023-04-12     	09:20:10       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	013300       	                  	Pick Up at Store                 
