ARTNO,popularity,Truck,Collect,Correlations
395624.0,1.0,1.0,0.0,{'10485252.0': 1.0}
396416.0,1.0,1.0,0.0,{}
402813.0,1.0,0.0,1.0,{}
414830.0,1.0,0.0,0.0,"{'30263245.0': 1.0008, '30277959.0': 1.0008, '80214568.0': 1.0002, '80435188.0': 1.0, '10257306.0': 1.0, '90277961.0': 1.0003, '40256895.0': 0.9999, '20214571.0': 1.0, '30214504.0': 1.0003}"
421185.0,1.0,1.0,0.0,"{'30256891.0': 1.001, '50334303.0': 1.0, '70257638.0': 1.0, '30277959.0': 1.0008, '30404028.0': 0.9999, '10211276.0': 1.0, '70246386.0': 1.0, '10246308.0': 1.0, '70404026.0': 1.0, '20246360.0': 0.9999, '60442383.0': 1.0002, '70214559.0': 0.9996, '20214566.0': 1.0, '40458191.0': 1.0, '90256893.0': 0.9996, '70277957.0': 0.9996, '214505.0': 0.9994, '90246352.0': 0.9999, '20246708.0': 0.9999, '50404032.0': 0.9999}"
423721.0,1.0,0.0,1.0,"{'70286645.0': 1.0, '275848.0': 1.0}"
426282.0,1.0,1.0,0.0,"{'10365928.0': 1.0, '392461.0': 1.0, '60365855.0': 1.0, '80430534.0': 1.0, '30392469.0': 1.0, '50391421.0': 1.0, '30366007.0': 1.0, '30430536.0': 1.0}"
426828.0,1.0,1.0,0.0,"{'228705.0': 1.0, '60481384.0': 1.0}"
428549.0,6.0,0.1666666666666666,0.6666666666666666,"{'60403602.0': 1.0, '20278167.0': 0.9999, '20263830.0': 1.0, '60474425.0': 1.0, '10429973.0': 1.0, '90462355.0': 1.0, '30238543.0': 1.0, '90184047.0': 1.0, '10308198.0': 1.0, '80214549.0': 0.9999, '20393662.0': 0.9999, '70429611.0': 1.0, '60403584.0': 1.0}"
431151.0,1.0,1.0,0.0,"{'275674.0': 1.0, '50263838.0': 1.0, '50275558.0': 1.0, '30472927.0': 1.0, '20245959.0': 1.0, '30341111.0': 1.0, '20485572.0': 1.0, '10423886.0': 1.0, '40263848.0': 1.0, '30291658.0': 1.0, '295530.0': 1.0, '10244743.0': 1.0, '80261258.0': 1.0, '80215332.0': 1.0}"
440768.0,1.0,0.0,1.0,"{'10436959.0': 1.0, '50444783.0': 1.0, '90440764.0': 1.0, '90466155.0': 1.0}"
441758.0,1.0,1.0,0.0,"{'80309241.0': 1.0, '20317079.0': 0.9999}"
445332.0,2.0,1.0,0.0,"{'10510299.0': 4.0002, '70510300.0': 4.0, '10391772.0': 4.0, '510308.0': 4.0, '30391766.0': 4.0, '90511105.0': 4.0002, '90391853.0': 4.0, '50494141.0': 4.0, '40510306.0': 4.0, '50396094.0': 4.0, '40456286.0': 4.0, '40391836.0': 4.0, '60518486.0': 4.0, '60409294.0': 4.0, '30409295.0': 4.0, '60396121.0': 4.0002}"
445370.0,1.0,1.0,0.0,"{'70417892.0': 1.0, '60510310.0': 1.0, '60412932.0': 1.0, '60396121.0': 0.9999, '60391859.0': 1.0, '80391764.0': 1.0, '20510307.0': 1.0, '50457105.0': 1.0, '20532743.0': 1.0, '50510301.0': 1.0, '50443811.0': 1.0, '50342237.0': 0.9999, '90511105.0': 0.9999}"
452544.0,2.0,0.0,0.5,"{'70530256.0': 1.0, '20331198.0': 1.0}"
