order_number,articles
1352290968,"ISTADNresealablebagpatterned/green30-p,ISTADresealablebagpatterned/blackyellow60-p,RABBLAboxwlid25x35x20,DRNAbox33x38x33white/blackpatterned,KALLAXshelvingunit77x77white,LACKNwllshlf110x26white"
1352291320,"RAFFIGfinials1pairblack,BETYDLIGwll/clngbrcktblack,RCKAcurtainrod210-385black,FRIDANSblck-outrllrblnd120x195grey,FRIDANSblck-outrllrblnd180x195grey"
1352291321,BISSANshoecab3comp49x28x135white
1352294122,"SKDIShook19mmwhite5-p,SKDISelasticcordgrey3-p,SKDISpgbrd36x56white,SKDISstorbaskets3white,VARIERANplasticbagdispwhite,KVISSLEwllnewsprackwhite,SKDISmagazhldrwhite,RFJLLNchilddskchrwhite/VisslelightgreyGB"
1352294948,KOMPLshelf75x58white
1352295020,"BILLYNNNbookcs40x40x202white,DRNANbox33x38x33darkgrey,KALLAXshelvingunit77x41white"
1352295253,"KULLENNchest/6drw140x72black-brown,KULLENNchest/2drw35x49black-brown"
1352295316,TJENANstorboxwlid32x35x32white
1352296121,"SPRUTTIGhangerblack10-p,HJLPAadjclthsrail60-100white,LACKNwllshlfut30x190white,KULLENNchest/6drw140x72white,PAXwrdfrm50x35x201whiteN"
1352296139,"MALMNchest/3drw80x78whiteN,MALMchest/2drw40x55whiteN"
1352296367,"KALLAXNshelvingunit77x147whstoakeff,DRNANbox33x38x33darkgrey"
1352296515,BRIMNESNchest/4drw78x124white/frostedglass
1352298535,HASVIKNNNsliddoorspair200x201white
1352298875,BILLYNNNbookcs80x28x106white
1352300939,"KALLRRhandle213mmstainlesssteel2-p,VEDDINGEdoor60x200white,MEleg84-p,FRBTTRANNplinth220x8white,UTRUSTAshelf60x60white2-p,MEframehicb60x60x200white,UTRUSTANNhingewb-indmprfktchn1102-p"
1352300974,"KORSNINGrugflatwin/out80x150greenpu/striped,KORSNINGrugflatwin/out80x250greenpu/striped,BUMERANGhangerwhite,TOLKNINGhangbasketjute,KOMPLshelf100x58white"
1352303655,"LTTHEThookandclip,SLKTbedfrm90x200white,HJLPAp-outrailfbskt55white2-p,KONSTRUERAwrebskt25,SLKTstorbox+cstrs62x62x35white,LURYslatbdbse90x200,HJLPAhookfclthsrail,SMSTADpull-outstorut80x57x108white"
1352303826,"LNSSmirror21x30,YLLEVADframe21x30white"
1352304246,"ISTADNresealablebaggrey/white50-p,UNDVIKAcornerbumperdarkbrown8-p,BETSparasolfrm300tilting/brownwoodeffect,NMMARtable,out140x75lightbrownstained,NMMARprivscrn140x80x50lbrwstndind/outd,HUVNparasolbase56x56grey,NMMARrecliningchair,outfoldablelbrwnstnd,DUVHOLMENincshnset/bckcshn71x45/42x45o-whGB,LINDJAparasolcanp300beige,FRSNcvrchrcshn50x50outdoorbeigeGB,NMMARbench,out120lightbrownstained,DUVHOLMENinnercshnchrcshn50x50outoff-whiGB,FRSNcvrseat/bckcshn116x45outdoorbeigeGB,NMMARchrwarmrsts,outlightbrownstained"
1352304858,"DRNANbox33x38x33darkgrey,KALLAXshelvingunit77x41grey/woodeffect,DRNAbox33x38x33white,KALLAXshelvingunit77x41oakeffect"
1352305217,"GRADVISplantpot12in/outdoorgrey,OLIVBLADplantstand58in/outdoorblack"
1352306312,NISSEDALmirror65x150whitestainedoakeffect
