ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1352300939,60286,10205421,VEDDINGEdoor60x200white,Truck,FullServeinternal
1352300939,60286,40205599,MEleg84-p,Truck,FullServeinternal
1352300939,60286,40327505,FRBTTRANNplinth220x8white,Truck,FullServeinternal
1352300939,60286,50205612,UTRUSTAshelf60x60white2-p,Truck,FullServeinternal
1352300939,60286,60212565,MEframehicb60x60x200white,Truck,FullServeinternal
1352300939,60286,80524882,UTRUSTANNhingewb-indmprfktchn1102-p,Truck,FullServeinternal
1350909917,60287,40233535,NOLMYRAeasychrblack/black,Truck,FullServeinternal
1352303655,60289,10436978,LTTHEThookandclip,Truck,Markethall
1352303655,60290,362746,SLKTbedfrm90x200white,Truck,SelfServe
1352303655,60290,10331194,HJLPAp-outrailfbskt55white2-p,Truck,SelfServe
1352303655,60290,20451379,KONSTRUERAwrebskt25,Truck,SelfServe
1352303655,60290,80362974,SLKTstorbox+cstrs62x62x35white,Truck,SelfServe
1352303655,60290,90160211,LURYslatbdbse90x200,Truck,SelfServe
1352303655,60290,90446148,HJLPAhookfclthsrail,Truck,SelfServe
1352303826,60292,50471026,LNSSmirror21x30,Collect,Markethall
1352303826,60292,80429757,YLLEVADframe21x30white,Collect,Markethall
1352303655,60291,80436965,SMSTADpull-outstorut80x57x108white,Truck,FullServeinternal
1349008932,60293,40256895,KOMPLclothesrail75white,Customer,FullServeinternal
1352304858,60294,10443974,DRNANbox33x38x33darkgrey,Collect,SelfServe
1352304858,60294,10477935,KALLAXshelvingunit77x41grey/woodeffect,Collect,SelfServe
1352304858,60294,40217955,DRNAbox33x38x33white,Collect,SelfServe
1352304858,60294,60395876,KALLAXshelvingunit77x41oakeffect,Collect,SelfServe
1352304246,60295,50342237,ISTADNresealablebaggrey/white50-p,Truck,Markethall
1352304246,60295,50443811,UNDVIKAcornerbumperdarkbrown8-p,Truck,Markethall
1352304246,60296,445370,BETSparasolfrm300tilting/brownwoodeffect,Truck,SelfServe
1352304246,60296,20510307,"NMMARtable,out140x75lightbrownstained",Truck,SelfServe
1352304246,60296,20532743,NMMARprivscrn140x80x50lbrwstndind/outd,Truck,SelfServe
